"","mu","h","sk","ku","y"
"1",0.000807585123556297,0.573468282033214,-0.176175983950163,5.0740331774485,0.958091161175811
"2",-0.0221197179069371,0.58507753924169,-0.147008723905612,4.80541460559559,0.238095350574175
"3",-0.00549697377772553,0.565559479831293,-0.126849502036296,4.5740318834995,1.81792584333533
"4",-0.0419709610732221,0.664424606418395,-0.0892539093340656,4.39867027337261,-1.78395845170439
"5",0.0411867464271035,0.748544465657149,-0.0958565178681881,4.23976592379562,0.963252061347231
"6",-0.021430609203955,0.747922637623471,-0.084644216980416,4.09099167928674,0.100857295488466
"7",-0.00148529743066623,0.7191974377191,-0.0773736395907234,3.96303731168818,-3.9408902902872
"8",0.0911939829527748,1.25405941003317,-0.224850737332601,4.15993140258235,-3.41305790936751
"9",0.0754191984542061,1.61011754038695,-0.229672896192465,4.07469267680991,-1.75123045300875
"10",0.0422962313339013,1.67520602304583,-0.197724404539546,3.95242649927169,-0.424159234355781
"11",0.0142477293355018,1.62188186090615,-0.167391951945807,3.84457801296954,2.19347123519428
"12",-0.0493572764226463,1.71790895305822,-0.136058953207777,3.75734015492582,-2.84240277916926
"13",0.0621549393172869,1.89909752005942,-0.130659771803507,3.68846825315838,-3.42479786696578
"14",0.0805533186290222,2.27551829185097,-0.139907474965443,3.64753877406456,1.98214989594345
"15",-0.0502276076038328,2.33897652315484,-0.117201600588168,3.58621434275549,-1.32980683046315
"16",0.0303283155922317,2.29891144729352,-0.104090431641737,3.53164718860809,1.85681727288685
"17",-0.0400898339277102,2.30801686073413,-0.0906572807258377,3.48572197633964,-0.640303505901152
"18",0.0122812460450107,2.22041640831566,-0.0822026358578066,3.44540808776526,-0.113421562253746
"19",0.00839951930684146,2.13297128937547,-0.0754602631630463,3.41092648928296,-1.14134775225282
"20",0.0248017219346261,2.08649544314363,-0.0706991539169003,3.38163148710286,-1.83420529773949
"21",0.0402198582464674,2.11238488248452,-0.0690779347107524,3.35784039055029,-1.59092032674745
"22",0.0363780996485023,2.1187256955402,-0.0670980373414534,3.33703056015929,0.49373063662258
"23",-0.00417756699416844,2.03131973234831,-0.0634372553982951,3.31823771372237,0.589276896715085
"24",-0.0137046232510627,1.95982759578093,-0.0604190687960776,3.30218588014457,-0.17641874613874
"25",0.00306852024530241,1.8790389025565,-0.0581347862496846,3.28843795734848,1.24782278086853
"26",-0.0341050123632209,1.87964591464871,-0.0544310583018123,3.27755235274174,3.93250405027906
"27",-0.0921909987127005,2.38709108604133,-0.0148922459271923,3.31590427580321,-0.317194034021318
"28",0.00775768311646226,2.28949252010986,-0.021979296117013,3.3001705186059,-1.88649246734454
"29",0.041368451484182,2.31082911482143,-0.030156772283452,3.28801862397442,-0.668771003137048
"30",0.0123881082954234,2.22643073690495,-0.0341809040893436,3.27633547889423,-1.46777451572779
"31",0.0412522785278763,2.25043720024743,-0.039955635283387,3.26770821782566,3.02763113828043
"32",-0.06780729131011,2.45919268274344,-0.0309593371117385,3.26800237661277,-1.75175842775045
"33",0.0401641706867179,2.45720347824863,-0.0365748114509301,3.26004575505028,-2.41069216744013
"34",0.0581646816368204,2.59084038347253,-0.0458049150614276,3.25703236979103,0.627699197102249
"35",-0.0181588997714676,2.50144658546275,-0.0463855932580563,3.24984925178562,-0.411482896652726
"36",0.00820822126363215,2.40087396653643,-0.0470022388988191,3.24368015169851,1.28757143600454
"37",-0.029907394407867,2.36032663822682,-0.046606791043652,3.23871334311415,-1.77964998036203
"38",0.0395455400568246,2.36394928100538,-0.0491591429383186,3.23509385927028,1.46903043338865
"39",-0.0331713650953815,2.33565546314506,-0.0480508899341314,3.23150434218864,-0.996588609761906
"40",0.0235609619268187,2.27331104380872,-0.0487196226835389,3.22810349940336,-0.275319741267332
"41",0.00508312919663245,2.18062205302209,-0.0488477615060584,3.22508193226222,-1.80829567185014
"42",0.0375825689656528,2.18601447895836,-0.0509962526836806,3.22347208188844,-0.261018118277245
"43",0.0124908477734812,2.10703133801389,-0.0507406071784436,3.22113591433175,-0.625191105639067
"44",0.0125171745813604,2.0304779173676,-0.0505312655628448,3.21913659386228,1.98303944409057
"45",-0.0420455617799186,2.06417349950907,-0.0471754151284648,3.21910471652353,-1.01665382782559
"46",0.0232294595970313,2.01191126184442,-0.0480736579429526,3.21751776678798,2.0427086069793
"47",-0.0432050173529567,2.05162184894005,-0.0449695049354834,3.21790721723445,-2.86757999766662
"48",0.0659748953777502,2.25220184980585,-0.0573815274193837,3.22607817035462,2.13858455172471
"49",-0.0447643530055351,2.28487009869878,-0.0527696988274745,3.22493078477445,1.14039773057437
"50",-0.0245833929149195,2.23396638992419,-0.0514576418158193,3.22255738532063,1.74423026633423
"51",-0.0411642952484171,2.25873886572888,-0.0483303943432525,3.22173274388846,1.26003958061378
"52",-0.0272930824124359,2.2185408178531,-0.047713316821725,3.21991927152769,0.473172076163708
"53",-0.0134480339883712,2.1394904384167,-0.047937886360065,3.21810051568404,0.132087952028592
"54",-0.00116736738527746,2.05058182800826,-0.0482203117381484,3.21652677799161,2.71594074459685
"55",-0.0617000091692015,2.22332376911609,-0.0385620900816698,3.22310242822181,2.21424654377171
"56",-0.0495858177415052,2.30681371193958,-0.0358334486306572,3.22394710018182,1.0357235443211
"57",-0.0228030682803189,2.2493622105759,-0.0381225978185268,3.22166867803925,1.42872171860293
"58",-0.0325688546450291,2.2297176104573,-0.0390986715013555,3.22012234081978,-1.32218761761792
"59",0.0306419659442199,2.19725283135758,-0.0421893526762721,3.2186242310196,0.953733827677061
"60",-0.0217131941851966,2.13557620162318,-0.0433034362073917,3.21706718993136,1.60421923318287
"61",-0.0350882822623588,2.13244173566546,-0.0427572213444733,3.21645015548763,-1.90348888705125
"62",0.0448579268495543,2.17504643378583,-0.0474918826896326,3.21701472447546,-0.93880770997653
"63",0.0211551893294559,2.11779411077785,-0.0482865157050719,3.21571579353129,-0.213789498852568
"64",0.00272218409091718,2.03037201261173,-0.0484986692434206,3.21448737745999,1.01145392498833
"65",-0.0206037900271535,1.97459122206456,-0.0482962247944983,3.21353584395854,3.81064463477725
"66",-0.0865655305405446,2.40557734008186,-0.0191809796517116,3.24639909967086,-1.83522859400627
"67",0.0406951599197992,2.406414779502,-0.0272959952996385,3.24161720730958,0.449050840934284
"68",-0.0095430922494991,2.31084814794722,-0.0318041859742834,3.23664079697828,-0.726395445822536
"69",0.0165823365807191,2.23252013433789,-0.0355598066746928,3.23241351461197,0.415728989539399
"70",-0.00629241254068277,2.14181248485583,-0.0383812866507919,3.22876804245631,1.08313618018374
"71",-0.0216528907423536,2.08482523884914,-0.0402222215598145,3.22576273762355,-0.102651848192803
"72",0.000754753656538535,1.99813273823779,-0.0420921303101437,3.2230796302578,1.37698733292788
"73",-0.0320297474011561,1.98455847307606,-0.0421442265665993,3.22138850359258,-1.61691889618698
"74",0.0366909516312227,1.98969537724421,-0.0456694995173165,3.22031191757276,-0.775130915687705
"75",0.0131490279927474,1.92036699257819,-0.046539264551263,3.2184402411766,-0.69408572939218
